GEOID,sovi,rank,fema_region
g05047,1.3282050484830261,138.0,FEMA_6
g05049,3.7835957920071,34.0,FEMA_6
g05051,1.1061055797738648,153.0,FEMA_6
g05053,-2.648652731730943,437.0,FEMA_6
g05055,0.08152338973643614,251.0,FEMA_6
g05057,0.8018629541230107,184.0,FEMA_6
g05059,-0.49880636816856605,302.0,FEMA_6
g05061,1.3527819862398378,135.0,FEMA_6
g05063,0.5266528773614518,204.0,FEMA_6
g05065,1.9918161534348326,92.0,FEMA_6
g05067,1.2237612213924611,144.0,FEMA_6
g05069,-0.2862007154663482,278.0,FEMA_6
g05071,0.020204027649732698,259.0,FEMA_6
g05073,1.0021850481210755,164.0,FEMA_6
g05075,3.4939492616645547,36.0,FEMA_6
g05077,0.6262183659289053,196.0,FEMA_6
g05079,-3.7375287802277475,477.0,FEMA_6
g05081,0.2818552711658345,227.0,FEMA_6
g05083,0.8602181687953456,177.0,FEMA_6
g05085,-1.8478128070208575,394.0,FEMA_6
g05087,0.3177285443506684,219.0,FEMA_6
g05089,3.034218444338303,51.0,FEMA_6
g05091,-0.7299402605820833,327.0,FEMA_6
g05093,-0.3887720341376826,291.0,FEMA_6
g05095,1.351131481204489,136.0,FEMA_6
g05097,0.570714929811734,198.0,FEMA_6
g05099,0.09063566951653335,250.0,FEMA_6
g05101,0.9757265604025136,168.0,FEMA_6
g05103,0.6320471991242557,195.0,FEMA_6
g05105,-1.4807089303120269,380.0,FEMA_6
g05107,2.4694955793501405,68.0,FEMA_6
g05109,-0.002588115429844412,261.0,FEMA_6
g05111,2.0054480516895787,91.0,FEMA_6
g05113,1.062937376604152,157.0,FEMA_6
g05115,-0.1444301839985308,272.0,FEMA_6
g05117,0.919974494284246,172.0,FEMA_6
g05119,-1.4770847769717061,379.0,FEMA_6
g05121,1.7250406152284605,113.0,FEMA_6
g05123,-0.29083486973683415,280.0,FEMA_6
g05125,-2.8566877153086248,445.0,FEMA_6
g05127,0.5626628159166642,200.0,FEMA_6
g05129,4.663160298885998,20.0,FEMA_6
g05131,1.0348740015336197,161.0,FEMA_6
g05133,1.7482642181068886,108.0,FEMA_6
g05135,3.0397599283563723,50.0,FEMA_6
g05137,2.235088435056805,76.0,FEMA_6
g05139,-0.842244259112487,338.0,FEMA_6
g05141,1.7097095458889975,116.0,FEMA_6
g05143,-0.45875381567878604,296.0,FEMA_6
g05145,-0.7629782108188439,331.0,FEMA_6
g05147,2.0510608703897075,84.0,FEMA_6
g05149,1.7278323581561938,112.0,FEMA_6
g06001,-2.235276661869716,78.0,FEMA_9
g06003,3.8459385679352804,8.0,FEMA_9
g06005,1.2917781313809282,24.0,FEMA_9
g06007,0.6510417424614838,33.0,FEMA_9
g06009,-0.7912178089458008,55.0,FEMA_9
g06011,1.6341904695252847,21.0,FEMA_9
g06013,-2.9829279871052075,80.0,FEMA_9
g06015,3.5217394462202574,10.0,FEMA_9
g06017,-3.00548734464089,81.0,FEMA_9
g06019,1.5138333848267618,22.0,FEMA_9
g06021,0.5125879747053811,37.0,FEMA_9
g06023,-0.8369129159535361,56.0,FEMA_9
g06025,4.782507339884497,5.0,FEMA_9
g06027,1.2016409174676141,26.0,FEMA_9
g06029,-0.079090776765741,47.0,FEMA_9
g06031,0.5021330855395152,38.0,FEMA_9
g06033,2.101082881810483,13.0,FEMA_9
g06035,-0.4035072114077356,49.0,FEMA_9
g06037,0.8719632015192513,31.0,FEMA_9
g06039,1.685510169291299,19.0,FEMA_9
g06041,-1.4645905075354908,66.0,FEMA_9
g06043,0.21440361622683612,44.0,FEMA_9
g06045,1.7373750771080467,17.0,FEMA_9
g06047,1.654064630882849,20.0,FEMA_9
g06049,4.782064045279035,6.0,FEMA_9
g06051,-2.034133444540693,75.0,FEMA_9
g06053,1.0506849536926275,27.0,FEMA_9
g06055,0.9246212160208526,29.0,FEMA_9
g06057,-1.059668697690094,61.0,FEMA_9
g06059,-0.6008821911823115,52.0,FEMA_9
