,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.21133878315427826,0.25438475910021097,0.16967903268158946,0.18492121019247815,0.15694935003235955,0.24389822981995823,0.0878877983950487,0.022506307722743576,0.4676123155200279,0.2846152230044143,0.08200488036434862,0.3759406044825439,0.31174145605918585,0.11346976125785345,0.26034545722380537,-0.03708526937218189,0.12547937812259963,0.15785005969858085,0.21027473939463454,0.06564410766348268,0.06634324810263878
BLACK_ACS,-0.26623092298296835,0.0938282931675919,0.0619083338906215,0.18724313800622092,-0.1215977596520921,-0.0602262477979979,-0.5679065851464624,0.05950872844895553,0.3399226053297614,-0.5263810958224764,-0.23835835696929503,0.05393450987278485,0.04232209027887896,-0.1086862636003777,0.09231799455086473,0.015925212902628882,0.4375368004243478,-0.02292967698433912,0.4615934192543949,-0.311080726879134,0.3900794584012415
QNATAM_ACS,0.49439825963654493,0.5423995913793187,0.5742773965699476,-0.23247320531019108,0.8066798787848811,0.6416584552533704,0.4483720299712747,0.583478329230438,-0.07590335224402392,0.3986111546630401,-0.04586051436690809,0.4368961618350773,-0.54784603508813,-0.30089526524052906,-0.5331774461074841,0.532085778671092,-0.06327322080671384,0.44246844024161774,-0.06742152347843154,-0.3030127076254379,0.28332009396142177
QASIAN_ACS,-0.08977346783272265,0.20987348266567518,-0.12295099084152403,0.07184627074262168,0.07320337786581294,0.021324390330571708,0.11968848919894555,-0.15012061762774556,0.23078771831067763,-0.0001801659429051805,-0.24187709485966133,0.12154662427310302,-0.16492758045651873,0.19857225800242842,0.21678060989133333,0.3274868102256039,0.22781419330298763,0.16107680537034325,0.5129564145560318,-0.09706466311399235,0.3339427301639004
QHISP_ACS,0.5626481351743786,0.21943221780742586,-0.1189474544680181,0.6337599063651763,0.4609771540927097,0.38907806496928243,0.3773732538997243,0.3964335625983946,0.5162579105442674,0.275314646551105,0.33428555000261223,0.32823018181749625,0.015489200147252184,0.5596910915198628,0.3692459463586603,-0.19287702426246758,-0.026758974419455253,0.48410736168162616,0.4982532816112094,0.27124089367058307,0.2529619796716295
QAGEDEP_ACS,0.7604063693911733,0.4999769712554766,0.17080812082289556,0.3788600531803311,0.37500354756160337,0.6174826225226331,0.5619857613943483,0.3285924615876518,0.5118145969902914,0.38085629450344816,0.2910007113335433,0.5605226903620988,0.5980803248722901,0.26885151316971656,0.14786717924258713,0.05306045968441038,0.1831041647456096,0.43533540914217494,0.1391776657092328,0.23360151570415644,0.11620081622264267
QPUNIT_ACS,0.01645709630066043,0.16875428761790648,-0.5527765851130414,0.1311504424027551,-0.40654114797340957,0.058275468717715745,-0.01734672812652313,0.13415901239368463,-0.18692627369772893,0.1364367107031329,-0.07208080330129982,0.363158367974708,-0.35476717842784283,-0.043847609284357214,-0.36990805375917757,-0.4299439389309137,-0.3717315727176882,-0.4554672733136925,-0.14443278080591374,-0.1900575808247782,-0.19761537024775305
PRENTER_ACS,0.16755039460758708,0.061289560131462695,0.08909906353486283,-0.1295396477958981,0.303675323852887,-0.08368626216517683,0.22703731082965664,0.06620599694316914,-0.167069830323818,-0.07904823461771879,0.36695169951272766,-0.032260034350748826,0.16710973937877294,0.10169556757035217,-0.114085205891655,0.190790683606351,0.23339804602977482,0.16369114383294744,-0.040319124125234265,0.3998430213788259,0.4573945498052831
QNRRES_ACS,0.3314616008050345,0.46097975953040643,-0.16393145837802908,0.514498375152874,0.523540214379819,0.21952111512657504,0.2893170685945861,0.42608867032026354,-0.2896109698964324,0.859115910542615,0.32990464342319736,0.3546284345603976,0.5406838691568326,0.16125843922566646,0.4408835184905147,-0.14464487707915263,0.32971425563442025,0.2838149553763194,-0.2806934641190263,0.660619019859763,0.16608415441226937
QFEMALE_ACS,0.7369492026838385,0.5072954653515122,-0.17618157543044843,-0.3947432922409364,-0.2550723008971629,0.8574845969697638,0.5431773309253797,0.8122102183596153,0.7520068257859036,-0.020722716951501796,0.4051080418738079,0.416602784869367,0.5274800703874593,-0.08654151341431462,-0.336357859651872,-0.28193525900062455,-0.3495456730670473,0.6449419343748206,0.481723807653123,-0.5559876913770134,0.05116557462959126
QFHH_ACS,0.20776047031712433,0.2616337839964761,-0.046361957887181254,0.09642517019599803,-0.010994642211010795,0.24974485256217394,0.08929035679984021,0.4998388185094614,0.008580320735434084,0.22444382953441538,0.4528560188320821,0.5571342761300656,0.27119854035212765,-0.0357138197319494,-0.07376854562817343,-0.1948524742209865,0.22086918040752568,0.21031302704319688,0.059313120097062785,-0.14718128383422208,0.5045648098423651
QUNOCCHU_ACS,0.27974756680658375,-0.24166696695528533,0.5103561810513493,0.7603163072293178,0.3770247644782213,0.31493798938182294,0.13724235319516964,-0.1686125334013902,0.45415344393725265,0.4496743319675815,-0.26852441650828035,-0.12542205642552684,0.1419585812692004,0.5050779564641149,0.20224805168104376,0.4215578578899337,0.2819827345003889,0.4014234650887502,0.7326453990887252,-0.4060318075756424,-0.28286552594833536
PERCAP_ALT,0.27911952814028007,0.045363489484138445,-0.07689332113925225,0.2500787580415159,0.1497394884493743,0.23528524103640752,0.379350128540869,0.23368960515322662,0.2684777924689627,0.08438804386649787,0.17824069063431686,0.09228133990502377,0.12611820985315483,0.15143577057630764,-0.0952300270044928,0.09866754858984984,0.19136394547393537,0.1867651093868727,0.24779219190774326,-0.15315670742152787,0.19837919580252694
QESL_ALT,0.4815550405776633,0.2979608100469505,-0.1205576133362199,0.5767969357112712,0.4725038467180301,0.4695636560693968,0.3245349116872068,0.3929063171719557,0.3787827635165568,0.4854301401417835,0.2425139167334753,0.36227354978740595,-0.03782444463239845,0.585666165056548,0.4974209540903752,-0.03680055488431905,-0.059739818895127764,0.4437891205217913,0.31460965064623636,0.3046830265292218,0.20874494360195853
QCVLUN,-0.15012310234707585,0.6871652296979791,0.20244322142069598,0.21345821534753445,0.16401734897666692,-0.21882776724883904,-0.1085044413090166,-0.11167696309840652,0.5234971204059158,0.2625706773378469,0.1523804599213994,0.7443583694916913,-0.1652188496145316,0.30760873274681466,0.34526289935163607,0.2501655883433719,0.4004360139751464,-0.1789479279307774,0.1327556569075487,0.41069978569863475,0.27585792221688177
QPOVTY,0.34339952314365896,0.14813583314771092,0.2537152324199971,0.17161237904073903,0.2886282309486619,0.2470501770803577,0.4529223664600319,0.2810651156320778,0.27046920288054027,0.5062418675495197,0.3858777155503917,0.024630642480281323,0.28319888842874236,0.3310060993436716,0.3314678721444654,0.42440472693980236,0.32640445178129185,0.39630137092534046,0.14499005290400407,0.19155084741071318,0.35528638245848737
QMOHO,-0.3672640772365577,-0.19815389990105464,0.06560206941065541,0.03907671132932497,0.038558241977656955,-0.246149984894158,-0.5850721679975889,-0.20434170680609737,0.2462721984976405,-0.15172663546684667,0.21343025331212997,-0.46679636641761896,-0.018566514286814023,0.27838631618216136,0.07585833632958756,0.3129545306957648,-0.4332149094541714,0.028339476808054,0.7326004522583336,0.3048144566734841,0.4009114971059626
QED12LES_ALT,0.14006797763333226,0.4215657670232523,0.07757298280938205,0.32391420701668155,0.1360652074798194,0.2070982741716024,0.1086075575785114,0.3943017110045552,0.23078177741271821,0.46016117905824416,0.3377925834047833,0.44783695745463054,0.19058617569597622,0.48769803127762695,0.2720367289802321,0.0584101981269526,0.07944349442822635,-0.05347675683885726,-0.008216341728026096,0.5235311103906437,0.42229939724422716
QFEMLBR,0.5056241107661001,0.10172182852511175,0.5085360073035643,0.06993676045213193,0.1617941327970463,0.1397019945742258,0.4799947438765092,0.15852156709391801,0.7896826491861361,0.2814756795810137,0.4060464121197855,0.3031860428103951,0.44896341475264084,-0.19030668377365817,-0.3049783011341202,-0.19543435277504884,0.12970226127044604,0.5401937060606417,0.3972252969406426,-0.43176433998282804,0.364625105067137
QEXTRCT_ALT,0.11459836718029304,0.23317165905061205,-0.14860677196698074,-0.020166180031316705,0.05660601882510849,0.31866352556997146,-0.22811075323219807,-0.050249304896338665,-0.16660826755163236,-0.20543846968637933,0.05155565537949931,0.2238765646534615,0.03327954034576813,0.5137276544782905,0.5079323941878445,0.3876025010669828,0.004591095034362946,0.10819909999934074,0.1519798371463268,0.8928363610481453,0.09131543858711665
QSERV_ALT,0.6476119871113168,-0.11751164806333134,0.42779112000744357,0.65583626613526,0.8111889439785659,0.1070857635276461,0.6145438132819246,0.20620965238998706,0.20080879110140598,0.34915615606215045,0.44294441782341976,-0.09710109833106939,-0.01949988083877019,0.23093423110086253,0.09985335805623391,0.31730551033336263,0.3882729900268521,0.25630386250289183,0.2414407367972209,0.31696868914605614,0.16270794719968565
QSSBEN,0.40225278626977423,0.46470736437142013,0.13353913831840275,0.24175156041446377,0.24886137093329738,0.30801065448300474,0.3391263218468496,0.1683471381764878,0.6785403873288325,0.47202254872745875,0.26781149677665417,0.49988299183760354,0.3131504309947573,0.24199080119394864,0.23425979329675692,0.17706534753108724,0.2647946357576121,0.23799601090167466,0.36313645460910493,0.26186922137679597,0.16808117191613275
QNOAUTO_ALT,0.3993236464058484,0.08042666496368912,0.3527388750292865,0.09664189652245583,0.2376263495562292,0.5861180867945943,0.043824444361063364,0.33849167168516625,0.2433237322185412,0.5695722150746046,0.31884518043877685,0.0007718230708786446,0.21394226418042114,0.31006623681791495,0.31308689652913435,0.13754109524657038,0.44859351575944384,0.06881838714135378,0.015364377910741508,0.4726696872830142,0.21739344446739245
QFAM,0.2938900873969535,-0.09147796687976584,0.24536454768287497,0.28725086433346864,0.1953681695936859,0.38237520607189524,-0.0431251595634765,0.5047674817463836,0.18089057427531977,0.2952883883087713,0.5043285683235321,0.04807745821461212,0.5428711497786981,0.09949743106396286,0.0839701614172611,0.07126822548104264,0.44524489969172776,0.4862778772679473,0.2803739264760053,0.051502819860045096,0.5493295939917007
QRICH200K,0.2152948102177684,-0.195970168118415,0.0747159330583425,0.11990602542560765,0.21454226976890664,0.09744560808508715,0.2633260214486181,0.034461408687686546,0.306025433259249,-0.15128536955390148,0.1498394200866596,-0.1609327595790754,0.2168995116403748,-0.04251741815308571,-0.3045588257369203,0.04418185327683223,0.1557813533494932,0.04856943278385377,0.5469086904791801,-0.14867650744164584,0.17198088030982028
MDGRENT_ALT,0.226473458099838,0.2668546219534653,0.1312059163374209,0.03696935570798252,0.0589690520915511,0.24178849875974834,0.3012764591442415,0.3074983494334437,-0.11878144522529166,0.05913336079477973,0.06507455038001697,0.20058027500012315,0.29618842087633496,0.08240083012365615,0.29810987993287347,0.27559883073653163,0.35197739176860277,0.17655811862669224,0.14653256890642663,0.06723880587402034,0.06195464373443077
MHSEVAL_ALT,0.14497285899024287,0.268619835574738,-0.06305698436440274,0.09329271730716798,0.050843318750726146,0.10607083458609004,0.17547666276295656,0.4349162074872089,-0.10062800515580156,-0.3396419197792747,0.07909338869478735,0.1063842663609956,0.11774114241560087,0.08894304040774802,0.0364429579085053,0.153024311088596,0.33810329312049836,0.27358517634482493,0.0947131836750344,-0.15887243553089894,0.3151108600642574
POPDENS,0.15507387953497,-0.07154103323396997,0.3831040841596054,0.10077507249446627,0.159709111120671,0.26891783728411356,0.20331364211610897,0.09759521032561662,0.6516149064455125,0.3464593249947275,-0.25243543177949357,-0.19395699215342527,0.16692370833336084,0.3067053581916379,0.2313603093241367,0.1251407923156435,0.3206905912588961,0.08296534384702259,0.20873925133317917,0.4115552324169253,0.1753128718576577
