GEOID,sovi,rank
g01001,-3.3779031906023165,2836.0
g01003,-1.181055792592911,2189.0
g01005,-0.024258459412833,1585.0
g01007,-4.418066523621681,2970.0
g01009,-1.9186044196385603,2465.0
g01011,-2.4594832036021383,2614.0
g01013,3.5948674517559445,245.0
g01015,-0.11013024719216935,1642.0
g01017,1.744805435592805,699.0
g01019,-1.6677680778772772,2382.0
g01021,-2.425745131203334,2604.0
g01023,-0.647637856518823,1938.0
g01025,1.0580685734702806,1003.0
g01027,0.10966134575560904,1519.0
g01029,-0.6201701125321177,1929.0
g01031,-0.8125615728165697,2020.0
g01033,-0.5515466150469847,1894.0
g01035,2.41374978019811,453.0
g01037,-1.2267754322199633,2218.0
g01039,1.5363962515486334,796.0
g01041,-0.4518282680793795,1850.0
g01043,-0.8001125881234518,2013.0
g01045,-0.6794325806432344,1952.0
g01047,3.550529833841663,251.0
g01049,0.07281529508747053,1541.0
g01051,-2.623422451911694,2663.0
g01053,0.5585961113023961,1270.0
g01055,0.6324304630642104,1226.0
g01057,0.11723962861916104,1517.0
g01059,-0.050747635307728745,1606.0
g01061,0.09424704542058793,1527.0
g01063,3.0788260035880888,318.0
g01065,1.830435642190186,658.0
g01067,0.5584838959425938,1271.0
g01069,-0.06349772495093176,1616.0
g01071,-1.3865409081595605,2277.0
g01073,-0.4405473437407551,1840.0
g01075,0.6112681156568349,1236.0
g01077,0.23352626002989663,1451.0
g01079,-1.2413770280979293,2225.0
g01081,-4.062750810820095,2943.0
g01083,-3.216223745633248,2803.0
g01085,1.7903746142212722,681.0
g01087,4.432082769906451,152.0
g01089,-3.681665681152807,2886.0
g01091,1.8219499754294295,661.0
g01093,0.7865750629754722,1145.0
g01095,-0.07687388763231451,1621.0
g01097,-0.4041843481222548,1821.0
g01099,0.9824660051890775,1039.0
g01101,0.2795861934123356,1429.0
g01103,-1.1928180220410793,2199.0
g01105,5.496695527733727,101.0
g01107,1.7578446335248796,694.0
g01109,0.4351565850887489,1347.0
g01111,0.5058509104736091,1304.0
g01113,1.8543564952478842,647.0
g01115,-3.670246979093301,2883.0
g01117,-5.741074249102718,3065.0
g01119,6.025837851995883,85.0
g01121,-0.36124956914461714,1796.0
g01123,1.6704679752320555,734.0
g01125,-1.7286481493251826,2402.0
g01127,0.13126949210014005,1501.0
g01129,-3.389680840260893,2841.0
g01131,3.2577907621285274,295.0
g01133,0.30185495919743177,1419.0
g02013,-10.167367417836116,3140.0
g02016,-8.519325753309761,3133.0
g02020,-4.762691584497708,3005.0
g02050,9.8285333794701,17.0
g02060,-3.516493018094793,2857.0
g02068,-4.407895266110308,2968.0
g02070,7.017127820958609,55.0
g02090,-5.95331321223353,3081.0
g02100,-4.402906271321955,2967.0
g02105,2.6699082452894,403.0
g02110,-5.4182950236019405,3050.0
g02122,-3.2955512872248374,2818.0
g02130,-2.9624259170212612,2743.0
g02150,-3.6414823697222767,2876.0
g02164,9.441223292229633,20.0
g02170,-5.585675170977426,3058.0
g02180,8.132584294704177,38.0
g02185,-0.19466557720669808,1691.0
g02188,8.682960412967041,32.0
g02195,-3.275660921785148,2813.0
g02198,-1.5197619653398928,2332.0
g02220,-1.7292874249604142,2403.0
g02230,-4.861369536888015,3010.0
g02240,-4.071081964629049,2945.0
g02261,-4.84471548636996,3009.0
g02270,13.769675511912691,4.0
g02275,2.2776673573905115,495.0
g02282,-4.651456887214296,2996.0
g02290,8.324500964538613,35.0
g04001,10.039613152540399,15.0
g04003,2.5179709223091806,434.0
g04005,1.1961328062870398,936.0
g04007,5.826606024913808,90.0
g04009,0.1877700938615814,1472.0
g04011,-1.232994657236382,2222.0
g04012,7.371487558076361,51.0
g04013,-0.44653290933973355,1845.0
g04015,3.5138584072288586,255.0
g04017,5.846507840656763,89.0
g04019,2.247381579380444,508.0
g04021,-0.564067723302405,1899.0
g04023,7.5516257443791535,49.0
g04025,2.841472534884047,363.0
g04027,4.732446263690219,133.0
g05001,0.5084128027241602,1300.0
g05003,-0.4359167732186502,1836.0
g05005,4.698193714762972,135.0
g05007,-2.1696676215862705,2542.0
g05009,0.8854670669717981,1088.0
g05011,2.0425830651110495,576.0
g05013,-2.5353152753527812,2634.0
g05015,1.7979826518660291,678.0
g05017,5.067362560718525,124.0
g05019,2.6416500006301114,408.0
g05021,0.6767482144831376,1203.0
g05023,1.768032601399354,689.0
g05025,-1.710511592950204,2393.0
g05027,1.8592805183271857,646.0
g05029,0.4275261805664454,1349.0
g05031,-0.5999248572570275,1914.0
g05033,-0.2658407455760701,1737.0
g05035,1.1897458805054033,941.0
g05037,0.6598061191818438,1217.0
